Planet Name,Host Name,Number of Stars in System,Number of Planets in System,Discovery Method,Discovery Year,Controversial Flag,Orbital Period,Semi-Major Axis,Planet Earth Radius,Planet Jupiter Radius,Planet Earth Mass,Planet Jupiter Mass,Insolation Flux,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Distance
Kepler-69 c,Kepler-69,1,2,Transit,2013,0,,,2.247,0.20046391,,,2.687,,5630.0,1.226,,730.625
Kepler-690 b,Kepler-690,1,1,Transit,2016,0,,,5.803,0.51770898,,,225.701,,5971.0,1.14,,1665.31
Kepler-691 b,Kepler-691,1,1,Transit,2016,0,8.114379,0.0644,2.14,0.19091834,,,11.19,466.0,3721.0,0.52,0.54,279.115
Kepler-692 b,Kepler-692,1,1,Transit,2016,0,21.81295996,0.1495,3.38,0.30154392,,,39.33,639.0,5601.0,0.999,0.934,991.336
Kepler-693 b,Kepler-693,2,1,Transit,2016,0,,,11.231,1.00196271,,,31.641,,4977.0,0.85,,1151.51
Kepler-694 b,Kepler-694,1,1,Transit,2016,0,6.3658454945,,,,,,,,5568.0,0.98285,0.98,1023.06
Kepler-695 b,Kepler-695,1,1,Transit,2016,0,3.040330424,0.0374,9.17,0.81809401,,,257.29,1021.0,5035.0,0.791,0.754,842.947
Kepler-696 b,Kepler-696,1,1,Transit,2016,0,4.19042431,,,,,,,,5726.07,1.20896,1.02,1416.44
Kepler-697 b,Kepler-697,1,1,Transit,2016,0,,,4.629,0.41297172,,,472.236,,5726.0,1.042,,1277.33
Kepler-698 b,Kepler-698,1,1,Transit,2016,0,,,6.064,0.54099384,,,172.557,,5875.0,1.595,,1995.57
Kepler-7 b,Kepler-7,1,1,Transit,2009,0,4.8854922,0.06324,18.483641,1.649,143.97699,0.453,,1619.0,5933.0,2.028,1.413,922.562
Kepler-700 b,Kepler-700,1,1,Transit,2016,0,80.8720639,0.3369,4.73,0.42198306,,,4.74,376.0,5665.0,0.764,0.779,1491.76
Kepler-701 b,Kepler-701,1,1,Transit,2016,0,10.35533177,0.0895,3.09,0.27567181,,,86.22,777.0,5501.0,0.918,0.891,774.152
Kepler-702 b,Kepler-702,1,1,Transit,2016,0,10.526294577,,,,,,,,5171.07,1.03741,0.88,992.071
Kepler-703 b,Kepler-703,1,1,Transit,2016,0,4.583521756,0.0535,5.69,0.50762867,,,274.98,1039.0,5815.0,0.877,0.973,1156.83
Kepler-704 b,Kepler-704,1,1,Transit,2016,0,3.76182115,0.047,2.59,0.23106472,,,372.62,1120.0,5653.0,0.949,0.974,1228.83
Kepler-705 b,Kepler-705,1,1,Transit,2016,0,56.0560538,0.2261,1.96,0.17485979,,,0.64,229.0,3593.0,0.47,0.49,276.881
Kepler-707 b,Kepler-707,1,1,Transit,2016,0,2.237492,0.031,1.79,0.15969338,,,,1116.0,5215.0,0.73,0.819,591.776
Kepler-708 b,Kepler-708,1,1,Transit,2016,0,3.167891938,0.0426,2.87,0.25604469,,,526.23,1221.0,5895.0,0.94,1.026,1394.22
Kepler-709 b,Kepler-709,1,1,Transit,2016,0,16.08518937,,,,,,,,5128.33,0.727711,0.86,664.843
Kepler-710 b,Kepler-710,1,1,Transit,2016,0,,,2.961,0.26416273,,,710.872,,5757.0,1.407,,1448.34
Kepler-711 b,Kepler-711,1,1,Transit,2016,0,23.58917143,,,,,,,,4907.0,0.778615,0.8,624.575
Kepler-712 b,Kepler-712,1,2,Transit,2016,0,21.0224209799,,,,,,,,4996.0,0.764618,0.83,872.493
Kepler-712 c,Kepler-712,1,2,Transit,2016,0,226.8904775,,,,,,,,4996.0,0.764618,0.83,872.493
Kepler-713 b,Kepler-713,1,1,Transit,2016,0,7.411138,0.074,2.5,0.22303545,,,,890.0,5803.0,0.89,0.97,1089.87
Kepler-714 b,Kepler-714,1,1,Transit,2016,0,8.0988856181,,,,,,,,5923.0,1.61257,1.08,2083.37
Kepler-715 b,Kepler-715,1,1,Transit,2016,0,,,3.995,0.35641003,,,181.408,,6074.0,1.137,,1327.44
Kepler-716 b,Kepler-716,1,2,Transit,2016,0,10.37168453,0.0874,2.79,0.24890756,,,47.36,669.0,5174.0,0.751,0.834,635.009
Kepler-716 c,Kepler-716,1,2,Transit,2020,0,3.96996298,0.046,1.78,0.15880124,,,229.37,992.0,5121.0,0.888,0.822,635.009
Kepler-717 b,Kepler-717,1,1,Transit,2016,0,4.40840023,0.052,2.73,0.24355471,,,398.0,1139.0,6007.0,0.961,0.968,2805.48
Kepler-718 b,Kepler-718,1,1,Transit,2016,0,2.052349905,,16.56,1.47738424,,,,,6191.0,1.3,1.18,1302.33
Kepler-719 b,Kepler-719,1,1,Transit,2016,0,,,14.821,1.32224106,,,1053.314,,5853.0,1.76,,2497.51
Kepler-720 b,Kepler-720,1,1,Transit,2016,0,4.70803527872,,11.54036047,1.02956377,,,363.7711,1113.85,5490.0,1.14715,,1065.37
Kepler-721 b,Kepler-721,1,1,Transit,2016,0,5.3920349814,,,,,,,,4944.0,0.898555,0.81,926.598
Kepler-722 b,Kepler-722,1,2,Transit,2016,0,4.093578461,,,,,,,,5732.0,0.969223,1.02,1239.5
Kepler-722 c,Kepler-722,1,2,Transit,2016,0,105.145959,,,,,,,,5732.0,0.969223,1.02,1239.5
Kepler-723 b,Kepler-723,1,1,Transit,2016,0,4.082275068,,12.19,1.08751896,,,,,5539.0,0.89,0.92,1071.8
Kepler-724 b,Kepler-724,1,1,Transit,2016,0,3.3149455,,,,,,,,5283.54,0.922747,0.91,853.119
Kepler-725 b,Kepler-725,1,1,Transit,2016,0,39.64315092,,,,,,,,5293.0,0.829332,0.91,758.469
Kepler-726 b,Kepler-726,1,1,Transit,2016,0,21.80451088,0.1411,2.72,0.24266256,,,21.5,549.0,5511.0,0.72,0.786,762.081
Kepler-727 b,Kepler-727,1,1,Transit,2016,0,5.154484417,0.0546,2.65,0.23641757,,,204.1,964.0,5431.0,0.884,0.816,831.842
Kepler-728 b,Kepler-728,1,1,Transit,2016,0,5.743469797,,,,,,,,5567.0,1.3965,0.98,1765.23
Kepler-729 b,Kepler-729,1,1,Transit,2016,0,3.166353714,0.0432,3.97,0.35418029,,,621.92,1274.0,6007.0,0.998,1.072,1921.15
Kepler-730 b,Kepler-730,1,2,Transit,2016,0,6.4916899778,,,,,,,,5638.0,1.37525,1.0,1935.04
Kepler-730 c,Kepler-730,1,2,Transit,2018,0,2.85188338,0.0413,1.23,0.10973344,,,903.77,1398.0,6123.0,1.107,1.159,1935.04
Kepler-731 b,Kepler-731,1,1,Transit,2016,0,3.855603551,0.0505,13.75,1.22669495,,,507.94,1211.0,6028.0,1.047,1.149,1257.16
Kepler-732 b,Kepler-732,1,2,Transit,2016,0,9.467821474,,,,,,,,3619.0,0.522369,0.519723,174.826
Kepler-732 c,Kepler-732,1,2,Transit,2016,0,0.893041236,0.014,1.22,0.1088413,,,145.37,886.0,3581.0,0.44,0.46,174.826
Kepler-733 b,Kepler-733,1,1,Transit,2016,0,20.83495,0.142,2.42,0.21589831,,,,559.0,5429.0,0.78,0.878,916.706
Kepler-734 b,Kepler-734,1,1,Transit,2016,0,6.10484996,,,,,,,,5610.0,1.62817,0.99,1157.21
Kepler-735 b,Kepler-735,1,1,Transit,2016,0,11.5151598863,,,,,,,,4929.0,0.756226,0.81,695.059
Kepler-736 b,Kepler-736,1,1,Transit,2016,0,3.60147889,,,,,,,,5093.0,0.858585,0.85,1005.43
Kepler-737 b,Kepler-737,1,1,Transit,2016,0,28.5991314718,,,,,,,,3793.0,0.517539,0.51512,205.118
Kepler-738 b,Kepler-738,1,1,Transit,2016,0,24.58721573,0.1548,2.31,0.20608475,,,18.74,531.0,5465.0,0.75,0.817,1113.65
Kepler-739 b,Kepler-739,1,1,Transit,2016,0,12.53248465,0.1054,3.37,0.30065178,,,85.15,775.0,5997.0,0.904,0.991,1370.65
Kepler-74 b,Kepler-74,1,1,Transit,2013,0,7.34071497,,,,,,,,5828.81,1.43728,1.05,1177.55
Kepler-740 b,Kepler-740,1,1,Transit,2016,0,3.584101048,,,,,,,,5415.15,0.986491,0.94,1442.02
Kepler-741 b,Kepler-741,1,1,Transit,2016,0,7.03899386,,,,,,,,5944.0,1.38133,1.09,1661.87
Kepler-742 b,Kepler-742,1,1,Transit,2016,0,8.360868238,0.0744,3.73,0.33276888,,,53.68,690.0,4743.0,0.81,0.786,489.253
Kepler-743 b,Kepler-743,2,1,Transit,2016,0,3.179262921,0.04166,1.324,0.11811957,,,401.4,,5509.0,0.918,0.953,278.987
Kepler-744 b,Kepler-744,1,1,Transit,2016,0,12.06222962,,,,,,,,5605.14,0.821117,0.991,449.964
Kepler-745 b,Kepler-745,1,1,Transit,2016,0,9.93146307,0.0915,2.41,0.21500617,,,177.83,931.0,5782.0,1.22,1.035,1780.38
Kepler-746 b,Kepler-746,1,1,Transit,2016,0,3.4815917,0.0435,1.17,0.10438059,,,421.61,1156.0,5405.0,1.022,0.902,
Kepler-747 b,Kepler-747,1,1,Transit,2016,1,35.61760233,0.1916,5.17,0.4612373,,,10.19,456.0,5123.0,0.779,0.737,3347.16
Kepler-748 b,Kepler-748,1,1,Transit,2016,0,,,3.112,0.27763404,,,439.778,,5923.0,1.487,,1705.99
Kepler-749 b,Kepler-749,1,1,Transit,2016,0,17.31716585,0.1054,2.1,0.18734977,,,10.07,454.0,4719.0,0.502,0.52,721.027
Kepler-75 b,Kepler-75,1,1,Transit,2013,0,8.88492268,0.0786,11.02,0.98314024,,,83.21,770.0,5332.0,0.843,0.821,835.356
Kepler-750 b,Kepler-750,1,2,Transit,2016,0,9.42887179,0.0926,2.95,0.26318183,,,253.39,1018.0,6495.0,1.168,1.19,1296.02
Kepler-750 c,Kepler-750,1,2,Transit,2016,0,4.08899022,0.0531,1.58,0.1409584,,,770.59,1344.0,6495.0,1.168,1.19,1296.02
Kepler-751 b,Kepler-751,1,1,Transit,2016,0,17.44490636,0.1263,2.81,0.25069184,,,50.32,679.0,5568.0,0.966,0.882,760.43
Kepler-752 b,Kepler-752,1,1,Transit,2016,0,18.82729,0.135,2.6,0.23195686,,,,629.0,5669.0,0.85,0.93,1232.29
Kepler-753 b,Kepler-753,1,1,Transit,2016,0,5.747711909,0.054,1.86,0.16593837,,,40.07,641.0,4252.0,0.632,0.637,274.767
Kepler-754 b,Kepler-754,1,1,Transit,2016,0,,,2.727,0.24328664,,,216.473,,5961.0,1.604,,1770.27
Kepler-755 b,Kepler-755,2,2,Transit,2016,0,1.269090374,0.0207,1.78,0.15880124,,,836.67,1372.0,5095.0,0.771,0.733,399.034
Kepler-755 c,Kepler-755,2,2,Transit,2016,0,2.853133644,0.0355,1.29,0.11508629,,,284.47,1047.0,5095.0,0.771,0.733,399.034
Kepler-756 b,Kepler-756,1,1,Transit,2016,0,1.224862,0.022,1.27,0.11330201,,,,1494.0,5564.0,0.81,0.912,
Kepler-757 b,Kepler-757,1,1,Transit,2016,0,1.022678654,0.019,1.14,0.10170416,,,2138.47,1734.0,5366.0,1.02,0.875,1068.68
Kepler-758 b,Kepler-758,1,4,Transit,2016,0,12.1097104,0.1114,2.34,0.20876118,,,263.98,1028.0,6692.0,1.351,1.261,1502.32
Kepler-758 c,Kepler-758,1,4,Transit,2016,0,4.75793986,,1.69,0.1507717,,,,,6228.0,1.42,1.16,1502.32
Kepler-758 d,Kepler-758,1,4,Transit,2016,0,20.4972755,0.1447,2.96,0.26407397,,,119.42,843.0,6021.0,1.458,0.96,1502.32
Kepler-758 e,Kepler-758,1,4,Transit,2016,0,8.1934699856,,,,,,,,6442.0,1.53467,1.3,1502.32
Kepler-759 b,Kepler-759,1,1,Transit,2016,0,41.805985,0.2329,2.17,0.19359477,,,19.02,533.0,5907.0,0.973,0.961,1073.48
Kepler-76 b,Kepler-76,1,1,Orbital Brightness Modulation,2013,0,1.544928884,,,,,,,,6409.0,1.32,1.2,822.96
Kepler-760 b,Kepler-760,1,2,Transit,2016,0,8.70419416,,3.06,0.27299491,,,,,5322.0,0.85,0.89,792.336
Kepler-760 c,Kepler-760,1,2,Transit,2016,0,2.46697039,0.0333,1.56,0.13917412,,,398.42,1139.0,5074.0,0.863,0.809,792.336
Kepler-761 b,Kepler-761,1,1,Transit,2016,0,10.12804789,0.0904,2.24,0.19983976,,,156.2,902.0,6124.0,1.007,0.959,830.707
Kepler-762 b,Kepler-762,1,1,Transit,2016,0,3.77058645414,,15.82246197,1.41158794,,,878.8828,1388.68,5897.0,1.38188,,1898.26
Kepler-763 b,Kepler-763,1,3,Transit,2016,0,1.196577,0.021,1.02,0.09099846,,,,1347.0,5194.0,0.73,0.813,962.459
Kepler-763 c,Kepler-763,1,3,Transit,2023,0,4.09666758,0.048,1.39,0.12400771,,,186.7,943.0,5258.0,0.793,0.879,962.459
Kepler-763 d,Kepler-763,1,3,Transit,2023,0,6.50327035,0.0634,1.67,0.14898768,,,98.81,804.0,4999.0,0.843,0.8,962.459
Kepler-764 b,Kepler-764,1,1,Transit,2016,0,7.33685101,,,,,,,,5495.0,0.943403,0.96,1047.84
Kepler-765 b,Kepler-765,1,1,Transit,2016,0,27.6655226,0.1754,2.29,0.20430047,,,39.94,641.0,6036.0,1.017,0.939,1076.28
Kepler-766 b,Kepler-766,1,1,Transit,2016,0,6.10027804,,3.39,0.30243554,,,,,5992.0,1.15,1.1,2297.62
Kepler-767 b,Kepler-767,1,1,Transit,2016,0,161.5280101,0.5733,6.15,0.5486672,,,2.43,318.0,5870.0,0.867,0.959,2251.03
Kepler-768 b,Kepler-768,1,1,Transit,2016,0,11.3910025,0.0926,1.74,0.15523267,,,37.65,632.0,4999.0,0.76,0.814,784.56
Kepler-769 b,Kepler-769,1,2,Transit,2016,0,7.42608998,,2.92,0.26050495,,,,,6186.0,1.28,1.19,1169.57
Kepler-769 c,Kepler-769,1,2,Transit,2016,0,15.9870174,0.1272,1.48,0.13203698,,,84.56,773.0,6225.0,1.009,1.07,1169.57
Kepler-77 b,Kepler-77,1,1,Transit,2013,0,3.57878055,,,,,,,,5482.59,1.06062,0.96,639.411
Kepler-770 b,Kepler-770,1,3,Transit,2016,0,18.92540274,,2.3,0.20519226,,,,,5598.0,0.92,0.94,930.457
Kepler-770 c,Kepler-770,1,3,Transit,2016,0,1.475323222,0.0309,5.88,0.52457937,,,13331.51,2740.0,4941.0,4.885,1.808,930.457
Kepler-770 d,Kepler-770,1,3,Transit,2016,0,,,1.904,0.1698635,,,209.752,,4938.0,1.221,,930.457
Kepler-771 b,Kepler-771,1,1,Transit,2016,0,8.73477,0.083,1.62,0.14452697,,,,876.0,5945.0,0.93,1.02,1393.85
Kepler-772 b,Kepler-772,1,1,Transit,2016,0,,,2.98,0.26585779,,,264.576,,5641.0,1.827,,1130.21
Kepler-773 b,Kepler-773,1,1,Transit,2016,0,3.7490924547,,,,,,,,5665.91,1.15785,1.007,547.026
Kepler-774 b,Kepler-774,1,1,Transit,2016,0,11.0895723,0.1068,2.49,0.2221433,,,497.11,1204.0,6350.0,1.974,1.322,917.804
Kepler-775 b,Kepler-775,1,1,Transit,2016,0,0.974868926,0.0187,1.19,0.10616487,,,1605.87,1614.0,5487.0,0.832,0.924,398.676
Kepler-776 b,Kepler-776,1,1,Transit,2016,0,4.897159726,,,,,,,,4944.0,0.824551,0.81,727.904
Kepler-777 b,Kepler-777,1,1,Transit,2016,0,5.7280724443,,,,,,,,4031.0,0.672976,0.63,443.106
Kepler-778 b,Kepler-778,1,1,Transit,2016,0,3.75574426,,1.68,0.14987956,,,,,5102.0,0.77,0.81,938.168
Kepler-779 b,Kepler-779,2,1,Transit,2016,0,7.09712124,,,,,,,,3827.0,0.549523,0.544826,283.155
Kepler-78 b,Kepler-78,2,1,Transit,2013,0,0.35500744,,1.16,0.103,8.0,0.025,,,5089.0,0.74,0.81,124.376
Kepler-780 b,Kepler-780,1,1,Transit,2016,0,0.677378275,,,,,,,,5846.26,1.03547,,557.652
Kepler-781 b,Kepler-781,1,1,Transit,2016,0,13.2141142531,,,,,,,,5160.0,0.804409,0.87,1064.47
Kepler-782 b,Kepler-782,1,1,Transit,2016,0,158.6853308,0.5692,3.73,0.33276888,,,5.47,390.0,6126.0,1.186,0.976,446.844
Kepler-783 b,Kepler-783,1,2,Transit,2016,0,4.29263699,0.0491,0.68,0.06066564,,,227.69,991.0,5357.0,0.863,0.854,516.09
Kepler-783 c,Kepler-783,1,2,Transit,2020,0,7.053936122,0.0679,2.55,0.22749615,,,267.95,1032.0,5775.0,1.114,0.839,516.09
Kepler-784 b,Kepler-784,1,2,Transit,2016,0,,,3.453,0.30805603,,,194.385,,5640.0,2.878,,1303.72
Kepler-784 c,Kepler-784,1,2,Transit,2023,0,17.15699192,,,,,,,,5576.0,2.87389,0.98,1303.72
Kepler-785 b,Kepler-785,1,1,Transit,2016,0,1.97377193553,,14.2783974,1.27383549,,,265.9747,1029.98,4664.23,0.697971,,642.051
Kepler-786 b,Kepler-786,1,1,Transit,2016,0,53.5293487,0.25483,2.339,0.20867196,,,3.6,,4772.0,0.708,0.769,485.318
Kepler-787 b,Kepler-787,1,1,Transit,2016,0,0.928310498,,1.28,0.11419395,,,,,4248.0,0.62,0.65,503.568
Kepler-788 b,Kepler-788,1,1,Transit,2016,0,8.39827939,,,,,,,,6112.9,1.31291,1.15,1775.8
Kepler-789 b,Kepler-789,1,1,Transit,2016,0,8.63847725,0.0836,2.1,0.18734977,,,182.1,937.0,6178.0,0.988,1.039,1480.16
Kepler-79 b,Kepler-79,1,4,Transit,2012,0,13.48458665,0.114,2.73,0.24355471,,,123.31,850.0,6388.0,1.037,1.084,1020.72
Kepler-79 c,Kepler-79,1,4,Transit,2012,0,27.40232089,0.1829,2.96,0.26407397,,,47.91,671.0,6388.0,1.037,1.084,1020.72
Kepler-79 d,Kepler-79,1,4,Transit,2014,0,52.090816,,,,10.2,0.03209279,,,,1.283,1.244,1020.72
Kepler-79 e,Kepler-79,1,4,Transit,2014,0,81.0634942,0.39445,2.823,0.25185162,,,16.6,,6389.0,1.316,1.244,1020.72
Kepler-790 b,Kepler-790,1,1,Transit,2016,0,13.73468,0.103,2.6,0.23195686,,,,645.0,5222.0,0.81,0.777,703.168
Kepler-791 b,Kepler-791,1,1,Transit,2016,0,14.5539759,0.1248,2.41,0.21500617,,,123.2,850.0,6362.0,1.144,1.221,1266.34
Kepler-792 b,Kepler-792,1,1,Transit,2016,0,11.30118,0.098,1.69,0.15077196,,,,826.0,5919.0,0.98,0.98,1425.47
Kepler-793 b,Kepler-793,1,1,Transit,2016,0,4.24153639,,1.37,0.12222321,,,,,5745.0,0.97,0.98,985.699
Kepler-794 b,Kepler-794,1,1,Transit,2016,0,11.13127159,,,,,,,,6013.42,1.65043,1.11,931.192
Kepler-795 b,Kepler-795,2,1,Transit,2016,0,29.6194447822,,,,,,,,5595.29,1.03781,0.989,492.122
Kepler-796 b,Kepler-796,1,1,Transit,2016,0,6.40087618,0.0697,2.18,0.19448691,,,533.49,1226.0,5353.0,1.878,1.098,817.584
Kepler-797 b,Kepler-797,1,1,Transit,2016,0,27.07237655,0.181,2.18,0.19448691,,,31.58,605.0,5936.0,0.965,1.075,1315.26
Kepler-798 b,Kepler-798,1,1,Transit,2016,0,13.71938763,,,,,,,,5933.64,1.22214,1.08,972.274
Kepler-799 b,Kepler-799,1,2,Transit,2016,0,,,9.801,0.87438665,,,6.356,,5587.0,1.393,,
Kepler-799 c,Kepler-799,1,2,Transit,2021,0,15.19421803,0.1247,1.92,0.17129122,,,79.65,762.0,6063.0,1.012,1.117,
Kepler-8 b,Kepler-8,1,1,Transit,2010,0,3.522498573,0.0473,14.83,1.32304626,,,1264.67,1521.0,6225.0,1.451,1.132,1021.87
Kepler-80 b,Kepler-80,1,6,Transit,2012,0,7.053514449,0.06471,2.621,0.23383036,,,46.4,,4665.0,0.677,0.725,369.451
Kepler-80 c,Kepler-80,1,6,Transit,2012,0,9.52169991,0.07355,2.16,0.19270229,,,,494.0,4040.0,0.57,0.59,369.451
Kepler-80 d,Kepler-80,1,6,Transit,2014,0,3.0721527,,,,,,,,4613.0,0.66402,0.731,369.451
Kepler-80 e,Kepler-80,1,6,Transit,2014,0,4.645397088,0.0457,1.37,0.12222342,,,37.09,629.0,4040.0,0.57,0.59,369.451
Kepler-80 f,Kepler-80,1,6,Transit,2016,0,0.986785834,,,,,,,,4613.0,0.66402,0.731,369.451
Kepler-80 g,Kepler-80,1,6,Transit,2017,0,14.6471,,,,1.0,0.00314635,,,,,0.73,369.451
Kepler-800 b,Kepler-800,1,1,Transit,2016,0,14.13176026,0.1107,2.91,0.25961326,,,49.68,677.0,5626.0,0.824,0.905,1019.26
Kepler-801 b,Kepler-801,1,1,Transit,2016,0,11.41928253,0.0793,1.55,0.13828198,,,7.29,419.0,3822.0,0.49,0.51,440.426
Kepler-802 b,Kepler-802,1,1,Transit,2016,0,40.05488,0.224,3.5,0.31224962,,,,478.0,5639.0,0.83,0.933,780.585
Kepler-803 b,Kepler-803,1,1,Transit,2016,0,50.28635977,,,,,,,,5928.59,1.25037,1.08,639.771
Kepler-804 b,Kepler-804,1,2,Transit,2016,0,14.37457351,,1.94,0.17307521,,,,,5817.0,1.05,1.01,649.65
Kepler-804 c,Kepler-804,1,2,Transit,2016,0,9.65185017,0.0873,1.17,0.10438059,,,138.84,875.0,5775.0,1.031,0.95,649.65
Kepler-805 b,Kepler-805,1,1,Transit,2016,0,30.8638931,,2.89,0.25782853,,,,,6112.0,1.65,1.19,638.49
Kepler-806 b,Kepler-806,1,1,Transit,2016,0,8.0922105,,,,,,,,5664.08,1.65832,1.01,361.896
Kepler-808 b,Kepler-808,1,1,Transit,2016,0,0.631332353,0.0116,1.1,0.0981356,,,726.72,1324.0,4441.0,0.53,0.526,
Kepler-809 b,Kepler-809,1,1,Transit,2016,0,55.63765,0.286,2.7,0.24087828,,,,463.0,5908.0,0.9,1.01,961.405
Kepler-81 b,Kepler-81,1,3,Transit,2012,0,5.954897293,0.0524,1.98,0.17664407,,,20.31,541.0,3896.0,0.52,0.54,348.291
Kepler-81 c,Kepler-81,1,3,Transit,2012,0,12.04,,2.37,0.211,,,,,,0.59,0.64,348.291
Kepler-81 d,Kepler-81,1,3,Transit,2014,0,20.83766355,,1.28,0.11419395,,,,,4385.0,0.65,0.69,348.291
Kepler-810 b,Kepler-810,1,1,Transit,2016,0,4.59725385,0.055,1.74,0.15523267,,,352.4,1105.0,5999.0,0.959,1.045,1458.59
Kepler-811 b,Kepler-811,1,1,Transit,2016,0,23.58461,0.162,2.16,0.19270262,,,,630.0,5956.0,0.93,1.018,985.041
Kepler-812 b,Kepler-812,1,1,Transit,2016,0,10.117121,0.102,2.8,0.2497997,,,,1170.0,7110.0,1.42,1.4,1482.74
Kepler-813 b,Kepler-813,1,1,Transit,2016,0,19.12947603,0.1439,4.23,0.37737597,,,105.25,817.0,5372.0,1.71,1.084,
Kepler-814 b,Kepler-814,1,1,Transit,2016,0,6.1469851,0.0676,1.78,0.15880124,,,337.87,1093.0,6341.0,1.033,1.083,2055.77
Kepler-815 b,Kepler-815,1,1,Transit,2016,0,8.57504983,0.0888,4.26,0.3800524,,,841.68,1374.0,4986.0,3.464,1.268,1259.28
Kepler-816 b,Kepler-816,1,1,Transit,2016,0,10.506825646,0.0893,9.41,0.83950542,,,47.48,669.0,5122.0,0.784,0.859,983.697
Kepler-817 b,Kepler-817,1,1,Transit,2016,0,3.990105908,,,,,,,,5593.0,1.176,0.99,1484.46
Kepler-818 b,Kepler-818,1,1,Transit,2016,0,10.035381809,0.0886,4.42,0.39432667,,,90.33,786.0,5813.0,0.833,0.925,925.037
Kepler-819 b,Kepler-819,1,1,Transit,2016,0,33.19949014,,,,,,,,5162.79,0.79071,0.87,664.306
Kepler-82 b,Kepler-82,1,5,Transit,2012,0,26.444393,,,,10.0,0.03146352,,,,0.859,0.946,904.326
Kepler-82 c,Kepler-82,1,5,Transit,2012,0,51.53998542,0.2681,6.11,0.54509863,,,11.63,471.0,5739.0,0.928,0.966,904.326
Kepler-82 d,Kepler-82,1,5,Transit,2014,0,2.382961,0.034,1.41,0.12579199,,,,1294.0,5700.0,0.9,0.922,904.326
Kepler-82 e,Kepler-82,1,5,Transit,2014,0,5.902245782,0.0621,2.43,0.21679045,,,173.74,926.0,5427.0,0.929,0.915,904.326
Kepler-82 f,Kepler-82,1,5,Transit Timing Variations,2019,0,75.732,0.3395,,,20.9,0.06575842,,,,0.898,0.91,904.326
Kepler-820 b,Kepler-820,1,1,Transit,2016,0,127.8338098,0.5102,7.57,0.67535133,,,14.54,498.0,6205.0,1.689,1.084,1387.2
Kepler-821 b,Kepler-821,1,1,Transit,2016,0,1.92279873,0.0282,1.25,0.11151772,,,481.04,1194.0,5155.0,0.778,0.808,614.571
Kepler-822 b,Kepler-822,1,1,Transit,2016,0,3.222969273,0.04078,1.53,0.13649769,,,523.8,,5680.0,0.967,0.87,860.391
Kepler-823 b,Kepler-823,1,1,Transit,2016,0,4.16809082,0.0523,1.95,0.17396765,,,496.73,1204.0,5739.0,1.183,1.096,1389.27
Kepler-824 b,Kepler-824,1,1,Transit,2016,0,,,1.678,0.14970113,,,454.604,,5939.0,1.11,,1201.4
Kepler-825 b,Kepler-825,1,2,Transit,2016,0,3.77360059,0.0453,1.35,0.12043914,,,614.52,1270.0,6224.0,0.969,0.868,807.85
Kepler-825 c,Kepler-825,1,2,Transit,2016,0,8.1818246,0.0759,1.71,0.15255624,,,218.9,981.0,6224.0,0.969,0.868,807.85
Kepler-826 b,Kepler-826,1,1,Transit,2016,0,4.48758907,0.0512,0.89,0.07940062,,,279.55,1043.0,5977.0,0.801,0.887,779.596
Kepler-827 b,Kepler-827,1,1,Transit,2016,0,51.92920654,,,,,,,,5565.0,1.4047,0.98,2046.68
Kepler-828 b,Kepler-828,1,1,Transit,2016,0,,,1.32,0.11776251,,,1835.159,,4965.0,0.725,,575.322
Kepler-829 b,Kepler-829,1,1,Transit,2016,0,6.8833761,,,,,,,,5575.0,1.1225,0.98,1073.76
Kepler-83 b,Kepler-83,2,3,Transit,2012,0,9.77058983,0.07295,2.34,0.20876082,,,,460.0,3893.0,0.52,0.54,400.409
Kepler-83 c,Kepler-83,2,3,Transit,2012,0,20.09,,2.33,0.208,11.4,0.036,,,,0.592,0.632,400.409
Kepler-83 d,Kepler-83,2,3,Transit,2014,0,5.169804269,,,,,,,,4648.0,,,400.409
Kepler-830 b,Kepler-830,1,1,Transit,2016,0,11.29695137,0.0968,1.57,0.14006626,,,144.32,884.0,6241.0,0.998,0.947,
Kepler-831 b,Kepler-831,1,1,Transit,2016,0,,,1.443,0.12873584,,,266.249,,5688.0,1.015,,593.54
Kepler-832 b,Kepler-832,1,1,Transit,2016,0,7.1397223708,,,,,,,,5705.0,1.10985,1.02,1688.12
Kepler-833 b,Kepler-833,1,1,Transit,2016,0,18.75463164,,,,,,,,4328.0,0.713732,0.68,467.37
Kepler-834 b,Kepler-834,1,1,Transit,2016,0,13.32388301,0.0862,1.35,0.12043914,,,4.82,378.0,3750.0,0.45,0.48,633.937
Kepler-835 b,Kepler-835,1,1,Transit,2016,0,11.41898219,,,,,,,,5855.0,1.42093,1.06,2406.33
Kepler-836 b,Kepler-836,1,1,Transit,2016,0,11.36112327,0.1016,2.68,0.239094,,,136.31,871.0,6244.0,1.017,1.079,980.035
Kepler-837 b,Kepler-837,1,1,Transit,2016,0,16.56062577,0.1144,2.94,0.26228968,,,57.28,701.0,5818.0,0.855,0.727,901.907
Kepler-838 b,Kepler-838,1,1,Transit,2016,0,15.74953307,,,,,,,,5773.0,0.89231,1.03,1104.04
Kepler-839 b,Kepler-839,1,1,Transit,2016,0,37.81266,0.227,2.51,0.22392759,,,,598.0,6210.0,1.08,1.09,944.561
